translated_text,class
Msichana mmoja wa waandishi wa habari anayeitwa Sean Spicer alikuwa na taarifa fupi za vyombo vya habari na bila kukusudia nikatoa habari mpya. Spicer alikatiza mazungumzo na waandishi wa habari huku akijaribu kutetea madai ya rais Donald Trump.,0
"Katika siku ya Alhamisi, Donald Trump alitokea kwenye uwanja wa michezo wa Dk. Oz alionyesha kile ambacho kwa msingi kilikuwa ni mfululizo wa maswali ya kugombeza. Alikuwa na silaha ya dawa ya shuku yake tayari, Dr. Harold Bernstein, ambaye miezi mingi iliyopita alisema kwamba Trump angekuwa na afya zaidi. Wakati huu, ripoti ilikuwa na mambo mengi zaidi, lakini yeye anajua kama ni sahihi. Ilionyesha kolesteroli na shinikizo lake la damu. Pia alikuwa na homoni ya juu (kwa kawaida)",0
"Katika umri wa kusumbuliwa wa Donald Trump, inaonekana kwamba Twita ndiyo msingi wa mitetemo ya umma, kupinduliwa kwa umma, na namna zote za mibadilishano. Ndiyo sababu hii ndiyo jukwaa Lawrence O Donnell, mkaribishaji wa MSNBC s The Last Word, anaitumia kusalimu amri ya Mswada O Reilly, na namna zote za tabia mbaya pale itokeapo miaka na miaka mingi ya kusumbua wanawake kutoka kiti chake cha utawala katika Fox News. Inaonekana kwamba Reilly alichagua kwa hakika mmoja wa wa wa wa wa wa wa washtaki wake, OKon, na pia ni kama vile alivyoazimia kuiunga mkono.",0
"Wakati huo, ilimbidi mwanamke mmoja nchini Urusi ambaye pia ni raia wa Urusi, Stephen Consselison, ambaye pia ni mwanachama wa Chama cha Umma (A Consselident) mara chache tu baada ya kutoka kwenye uwanja wa mahakama wa Urusi, wakati Sarah Palin alipojitolea kuwaangalia vijana wote wa Urusi. Kwa hiyo, ni vigumu kwa vijana wengine.",0
"Jull Stein, Green Party for President for President of the United States, amefanya kesi yake ya uchaguzi kwa kujichorea kama vile kuwa mtetezi wa fedha za ki-Hillary Clinton. Yeye anadai kwamba Clinton ana uhusiano wa karibu na Wall Street na hisia zake za starehe kuelekea mashirika makubwa na wachafuaji wa fedha kwa kiasi kikubwa, ambaye kwa ujumla ni mujibu wa fedha.",0
"UNITED NATIONS (Watangazaji wa Umoja wa Mataifa) - Russia Sisi ni waziri wa kigeni tu aliyesema siku ya Ijumaa viongozi wa Korea Kaskazini na Marekani wapaswa kubadili kauli zao za uongo na kuwaonya waandishi wa habari kwamba kuanguka kwa mpango wa nyuklia kati ya Iran na serikali za ulimwengu kungempa ujasiri Pyongyang. [2] Mbadilishano wa vitisho ni mbaya sana, haukubaliki, Giuseppe Sergei Lavrov aliwaeleza waandishi wa habari katika mkutano.",1
"Ili kukabiliana na hali hiyo, kila mmoja wa wale waliokuwa na msimamo mkali wa maoni ya kiislam nchini Marekani, Ninaomba ruhusa ya kuomba ruhusa kwa Marekani kumpa Trump nafasi. Lakini katika mashindano ya bahati mbaya ya kutoa maoni yake ya kuwa rais kabla ya kumhukumu mwaka jana, yeye alisema kuwa yeye ndiye aliyekuwa akiomba radhi siku chache baada ya uchaguzi.",0
"Kama ilivyojulikana wakati wa kampeni ya Urais, Donald Trump alikuwa na mapenzi ya kujitangaza, na wakati huo wanapitisha uongo huo kwa kila mmoja wao na kwa kweli anawaamini, hata wale waliodanganya kuwa ni sawa. Yeye ndiye aliyeshinda katika uchaguzi mkubwa zaidi tangu Siku ya Uchaguzi, na kusema kwamba Trump ameshinda kura maarufu zaidi kwenye chuo chake cha uchaguzi.",0
"Kama ilivyo kawaida kwa rais wa nchi za nje kuwa na msimamo mkali, ndivyo anavyopaswa kuwa na msimamo mkali dhidi ya watu wenye msimamo mkali, lakini mbali na matatizo ya wazi ya kisiasa, kuna desturi moja ambayo ni muhimu sana miongoni mwa viongozi wa kimataifa na mabalozi. Trump anakaribia sana kuiharibu.",0
"Bila shaka, hili lilitokea Florida. Baada ya kudaiwa kushindwa kumshawishi mtu fulani amunge mkono Donald Trump wakati wa hoja kali katika mahali pa kupigia kura katika Ziwa Worth kanisa, muungaji - mkono wa Trump aliamua kuvuta bunduki dhidi yake.Palm Beach County Sheriff polisi alijibu tukio hilo na mara moja akamkamata Trump, ambaye alionekana akivaa kofia ya Marekani mara nyingine kama angewekwa nyuma ya polisi. Ushahidi wa Trump alipata hoja ya kupiga kura baada ya kura kwa ajili ya kura ya ushindi wa serikali, na kwa muda wa miaka mingine ni pamoja na majaribio ya uchaguzi wa serikali.[3][3][3][3][3][3]",0
"YEHingTON (Watangazaji wa habari) - Kwa muda mfupi, Rais wa Marekani Donald Trump anaendesha kampeni hiyo akiwa peke yake. Baada ya kuona ajenda yake ikihatarishwa na migawanyiko ya Republican na katika mapigano kati ya wasaidizi wake, Trump amekuwa akishughulikia shughuli za juma hili, akirudisha upya kampeni yake na kujaribu kutoa ushindi wake kwa ajili ya chama cha serikali.",1
Ni miezi miwili tangu uchaguzi wa mwaka 2016 lakini Donald Trump akataa kulalamika juu ya matokeo.,0
"Katika kipindi cha miaka 18 iliyopita, vijana wa chama cha habari cha Yasmin Seweid walipambana na tatizo la uhalifu.",0
"Akiwa amepigwa karibu kufa wakati wa maandamano maarufu ya Bloody Sunday mjini Selma, Alabama, na tangu wakati huo ameinuka kupitia ngazi ya Bunge ya Marekani. Mnamo Ijumaa, yeye aliketi na NAC s Chuck Todd kwa ajili ya mahojiano, na alipoulizwa kama anaweza kubuni uhusiano na Trump kama vile alivyofanya na rais wa zamani, Rep. Lewis hakusema kwamba hakuna mtu mwingine mwenye mamlaka ya juu ya mamlaka ya juu ya uongozi mkubwa: Ninapaswa kusema kuwa ni halali, na kwamba yeye hapaswi kuamua kuwa rais huyu ni halali.",0
"MYHINGTON (Watangazaji wa Afya na Huduma za Jamii, Politico aliripoti mnamo Jumanne, akitaja maofisa wawili wa Nyumba Nyeupe. Yeye angechukua mahali pa Republican Tom Price, ambaye alijiuzulu mwezi uliopita kwa ubishi juu ya matumizi yake mazito ya kibinafsi na serikali kwa ajili ya usafiri kwa ajili ya gharama ya kodi. Agome alikuwa naibu wa katibu wa HH wakati wa utawala wa rais wa Marekani W. Elicoming Coly, na pia alijiunga na afisa mkuu wa Shirika la Mawasiliano la Marekani, na serikali ya Umma.",1
"MEHINGTON (Watangazaji) - Ofisa wa Ikulu ya John Kelly alisema siku ya Ijumaa serikali ya muungano ingesimama pamoja na Puerto Riko katika jitihada zake za kupata nafuu mpaka  vizurishojob ifanyike,.[1] Rais Donald Trump alikuwa tu akitambua uhalisi wa mambo katika twiti mapema katika siku ambayo ilionyesha itikio la dharura halitaendelea milele.",1
"Wakati wa mazungumzo yake siku ya Ijumaa, Trump Gina Loudon alikuwa na nguvu ya kudai kwamba raia wa Jamhuri ya Republican hakukubaliana na maoni yake.",0
"Ili kukabiliana na matatizo ya afya, ni lazima kuwe na gharama za kutibu magonjwa ya akili.",0
"MYHINGTON (Watangazaji wa Serikali) wa Jamhuri Lindsey Graham alisema siku ya Jumatano Baraza la Seneti lingechukua muswada wa Obama kwa ajili ya huduma za Obama aliouunga mkono wiki iliyofuata, mwandishi wa habari wa NBC alisema kwenye mtandao wa Twita. Mwandishi huyo alisema kiongozi wa Baraza la Seneti Mitch Mc Constanted mashindano hayo alisema baada ya hapo kwamba hakuna tangazo lililofanywa katika ratiba ya wiki iliyofuata ya mashindano ya ndege, lakini halikuthibitisha wala kupinga kauli ya Graham-Ponde.",1
Katika utaratibu ambao mahakama ya White House imeanza kuwa na hofu kuu. Angalau kuwa na maoni ya kiakili kutoka kwenye ofisi yao ya hivi karibuni.,0
"Donald Trump lazima alazimike kujiuzulu au kutokuwa na hatia, kwa sababu hii ni vibaya kweli. Jumatatu, Trump mbadala wa mambo ya hakika alivunjwa katika sera ndogo milioni wakati Mkurugenzi wa FBI James Comey alipotoa maoni yake kwamba Rais Obama alikuwa akimpiga risasi na kusema kwamba Trump yuko chini ya uchunguzi wa uwezekano wa kujitenga na Urusi wakati wa uchaguzi wa 2016. Kama ilivyosemwa, ni wazi kwamba Trump alikuwa akitupa kiasi kikubwa sana cha uongo wote wa televisheni na si sawa na kwamba yeye anachukia sana.",0
"Katika moja ya hatua zake za kwanza tangu kuwa Rais-Elect, Donald Trump amechagua moja ya watu wabaya zaidi nchini humo kama mkuu wa habari.",0
"Ni wakati tu ambapo ameshashapiga kura kwenye kanisa la Texas, ambapo sote tunasikia maneno ya lazima na pia Mungu akiwa pamoja nanyi, tunatarajia kutoka Jamhuri ya Marekani ambaye kwa ujumla ana wasiwasi juu ya maisha ya watu wengi.",0
"Kwa hiyo, ni jambo la kawaida kwa maofisa wa kampeni ya kuwatafutia watu fursa ya kupiga kura kabla ya kuanza kupiga kura.",0
"Kwa mara ya kwanza, tuna mwanamke wa rangi anayeonyeshwa kwenye sarafu hapa. Yeye huonyesha Bibi Liberty katika dola 100 za Marekani.",0
"MYHINGTON (Routers) - Rais Donald Trump alikutana Jumatano pamoja na mwanauchumi wa Chuo Kikuu cha Stanford John Taylor katika kutafuta kiti kipya cha Hifadhi ya Serikali, afisa wa White House alisema. Trump aliungana na Makamu wa Rais Mike Pence na washiriki wa timu yake wakisaidia katika kutafuta kiti cha Fed, ikiwa ni pamoja na Treasury Katibu Steve Mnuchin, ofisa wa shirika la habari la Reuters. Trump anafanya kazi kutoka orodha fupi ambayo Jerome Powell, gavana Fed Kevinsh, gavana wa zamani, Fohn, gavana wake wa uchumi, Gary Cohn, ambaye pia ni kiongozi wake wa sasa wa mambo ya kiuchumi, na ambaye ametamka katika Februari, Janet Coled.",1
"Donald Trump amekuwa akikwenda likizo kwenye kituo chake cha Mar-Lago katika Florida kila mwisho - juma tangu alipokuwa akitwaa ofisi, na sasa Palm Beach ananuia kumlipia. Gharama ya Trump s mwishoni mwa juma imekuwa yenye uharibifu mkubwa kwa watoza kodi wa mahali hapo na biashara za eneo hili.",0
"Wakati Donald Trump akitwaa rasmi ofisi ya Rais siku ya Ijumaa, yeye asema kuwa ataondoka kwenye ofisi ya Ovaler Office mpaka Jumatatu. Kwa mujibu wa Trump, yeye hutumia mwisho - juma badala ya rais. Katika mahojiano na Times ya London, Trump alisema, Mmoja wa amri za kwanza ambazo mimi huziona kuwa ni kinyume cha Ijumaa au Jumamosi.",0
"Kwa mara nyingine, Papa Francis anasema ukweli, na Wakristo wasiotaka mabadiliko watamchukia hata zaidi. Wakati huu inahusu haki ya kueneza habari potofu. Kwa taarifa za Pizzagate na sasa Newtown vitisho vya kusababisha ghasia kwa sababu ya upigaji wa sheria wa sheria (nauungaji mkono wa Trump), utakatifu wake unapaswa kuwa wenye kuenea kwa habari bandia, ukiitaja kuwa dhambi na pia kula kinyesi.",0
"Watu wa Houston, Texas wanalemewa na mafuriko wakati wa janga la maji.",0
"Kwa sasa, sote tumesikia au kuona picha ya Will & Grace akiungana ili kuhakikisha kwamba kila mtu anapiga kura katika mchezo wa kupiga kura.",0
"MYHINGTON (Wasimamizi) - Seneta wa Marekani John Thune, mshiriki wa uongozi wa Baraza la Seneti, alisema Jumatano kwamba timu mbili za Marekani za maseneta ili kusawazisha hali ya Obama kwa kurudisha misaada ya fedha kwa wadhamini wa afya zilikuwa zimeondolewa.[2] Rais Donald Trump anapinga malipo yanayoenda kwenye makampuni ya bima na muswada huo ni lazima kupitia Nyumba ya Wawakilishi vilevile, Thune alisema.",1
"YOHINGTON (Wasimamizi) - Bunge la Marekani liliweka nadhiri mnamo Jumanne ya kupambana na kiasi fulani cha sheria ambayo ingefungua Hifadhi ya Kitaifa ya Wanyama wa Pori ya Alaska kwenye mafuta na uchimbaji wa gesi, ikisema kwamba ingeharibu moja ya nchi.[1]",1
"Katika miaka ya 1998, Bill Clinton, ambaye ni mtaalamu wa mambo ya maadili, alikuwa akitoa maoni yake kuhusu mambo ya maadili.",0
"Kama kuna picha ya Demokratic kwamba Donald Trump anaogopa kuwa hana hatia, ilikuwa ni sen. Elizabeth Warren (D-Mascters). Warren alikuwa na tatizo kubwa sana wakati wa kampeni yake ya urais, na kwa hakika yeye huwa na wasiwasi baada ya kuingia katika nyumba ya White House.",0
"Katika kipindi cha miaka mitatu iliyopita, Rais wa Marekani Donald Trump alifutilia mbali msimamo wa upinzani na mmoja kati ya wachezaji watatu wa mpira wa vikapu nchini China ambao walishukiwa kuiba vitu dukani, huku akimwita mjinga wa China, ambaye wakati huo alijiunga na timu yake ya kwanza ya kutoa maoni.",1
"ALIKUWA akipokea maombi yake mwenyewe ya kisheria kwa ajili ya uchunguzi wa Urusi, na hata wakati wa kampeni ya kutoa misaada ya kisiasa kwa chama cha Republican Party.",1
"MNAMO Jumatatu, mahakama ya kitaifa iliomba mkaguzi wa Mawasiliano wa Shirika la Umma la Marekani ili aachishe matangazo ya moja kwa moja ya maombi yake ya moja kwa moja.",1
"Maneno yafuatayo yalitumwa kwenye akaunti za Twita zilizothibitishwa za Rais wa U.S. Donald Trump, @DeaDonaldTrump na @POTO. Maoni yaliyotolewa ni yake mwenyewe. Reuters haijarekebisha taarifa au kuthibitisha usahihi wao. @eaDonaldTrumpp : - Angalau wachezaji 24 walipiga magoti mwisho - juma huu kwenye viwanja vya NFLUS.",1
"Katika miaka ya 17 iliyopita, Anton News, mover wa uwongo ameamua kuacha kitendo na kuwaambia watu ni nani hasa. Kwa kushangaza, walitupilia mbali kauli zao za haki na zenye usawaziko.",0
"Donald Trump anaazimia kuhakikisha kwamba Marekani haijapata kamwe kuonekana kama kiongozi wa ulimwengu huru tena. Kwa kuwa jitihada zake mbaya za viongozi wa mataifa yaliyoungana kwenye mikutano ya NATO na G7 na mashambulizi yake ya daima juu ya maadili ya kidemokrasi na tabia yake ya ubaguzi kwenye mtandao wa Twita ni za kutosha, sasa inaripotiwa kwamba Trump mipango yake ya kuendelea kuweka hatari na dhana ya kijinga kwamba hali ya hewa ni aina fulani ya udanganyifu katika sera ya Kichina. Hata hivyo, yeye amechukua hatua mbaya zaidi, na sasa anang'ang'ang'ang'ania kung'ania kung'ania kung'oa na kung'ang'ang'ang'oa na kung'ang'ana na kung'ania serikali za nchi zote 200.",0
"A.S. Mahakama ya Wilaya iliamua siku ya Jumatatu kwamba Rais Donald Trumps ni lazima atoe mimba kwa ajili ya vijana wawili wajawazito ambao wako nchini humo kinyume cha sheria, ikiongeza kesi ya juu ya mahakama. Hakimu Tanya Chutkan, hata hivyo, aliazimia kutoa mimba kwa ajili ya serikali ya serikali ya Marekani, na wakati huo Mahakama ya tawi ilikuwa imetoa uamuzi wa mahakama ya Marekani kwa ajili ya kutoa mimba.",1
"YEHINGTON (Wasimamizi wa Chuo Kikuu cha Stanford John Taylor, Politico alitaja chanzo kimoja kuwa, wakati mwingine akishauri kwamba alikuwa akimfikiria Powell na Taylor, lakini yeye pia alipenda sana mchezo wa kompyuta wa Janet Yellen, Politi alisema kwamba hakuna mtu ambaye angeweza kusema kwa ukawaida kwamba yeye ndiye aliyefanya uamuzi wa juu ya serikali ya Marekani na serikali ya Marekani.",1
"Wenye mamlaka wa kituo cha televisheni cha Utafiti cha Media, wakaguzi wa haki wa vyombo vya habari, ambao walikuwa na msimamo mkali wa kupinga matumizi ya nguvu za serikali.",0
